0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
31343.955,107369.515,100824.3375,101677.9225,135655.9575,0,393.535,0,298.275,0,0,0,0,0,0,0,0,0,0,0
46085.4575,64123.45,57599.9025,86837.21,47363.145,0,0,1320.5975,0,0,0,0,0,0,0,0,0,0,0,
39392.62,119109.785,113373.7725,125201.9025,89066.72,218.47,734.915,218.32,0,0,0,0,0,0,0,0,0,0,,
162779.7575,205834.515,186481.505,196711.5025,46342.4325,910.1325,307.3275,1001.815,261.2275,0,0,0,0,0,0,0,0,,,
30955.0275,193764.005,153050.2125,169516.7175,177731.36,1797.8325,298.275,367.585,0,0,0,0,0,0,0,0,,,,
56911.32,117403.1525,140435.45,283496.9025,113348.6725,2643.9925,218.32,0,0,0,0,0,0,0,0,,,,,
53385.66,224786.085,188913.9175,208106.2625,153134.8825,0,0,0,185.5725,0,0,0,0,0,,,,,,
209204.065,268225.4225,323116.2725,261994.8775,92877.6475,611.1125,0,253.5325,0,0,0,0,0,,,,,,,
50885.6475,203161.39,161811.9125,125040.1675,155814.39,218.32,0,0,0,0,0,0,,,,,,,,
99377.7275,334172.5725,195265.4375,238220.12,118803.885,718.47,0,0,0,0,0,,,,,,,,,
66394.9925,285070.96,249013.98,228062.305,132854.7025,0,0,0,0,0,,,,,,,,,,
218752.13,350734.5875,261064.5775,315988.06,75433.0475,0,0,0,0,,,,,,,,,,,
45428.1125,172007.105,157430.1025,175931.005,188794.0075,0,0,0,,,,,,,,,,,,
167050.7825,309651.6775,296298.6,301237.225,130460.7775,0,0,,,,,,,,,,,,,
57066.0725,341439.44,246160.7975,251549.6125,142640.715,0,,,,,,,,,,,,,,
248494.735,315413.1925,280124.24,298768.525,51878.6275,,,,,,,,,,,,,,,
61245.0725,169872.32,123361.475,66610.475,,,,,,,,,,,,,,,,
156678.2625,168973.0125,104648.4125,,,,,,,,,,,,,,,,,
139262.4,317186.615,,,,,,,,,,,,,,,,,,
136562.3375,,,,,,,,,,,,,,,,,,,
